population,generations_ago,Ne
Africa,12650.337203959038,8605.865900407265
Africa,12767.507043192643,8586.547059989512
Africa,12885.76213185518,8574.52015441018
Africa,13005.1125217341,8557.70197090859
Africa,13125.568357718428,8507.180092873572
Africa,13247.139878661175,8482.912126433406
Africa,13369.837418249452,8471.04662183626
Africa,13493.671405883064,8422.902941462396
Africa,13618.652367560828,8390.167595250712
Africa,13744.790926775366,8382.456222991405
Africa,13872.09780541621,8354.479293953931
Africa,14000.583824680962,8310.249887611943
Africa,14130.259905995335,8296.926347575883
Africa,14261.137071941295,8269.711586479907
Africa,14393.226447194063,8255.930922734366
Africa,14526.539259467812,8231.20982600972
Africa,14661.08684046983,8177.972418073868
Africa,14796.880626863964,8158.286326458561
Africa,14933.932161242534,8119.561094967497
Africa,15072.253093107554,8106.879755326141
Africa,15211.855179861048,8102.19293938342
Africa,15352.75028780421,8091.310874185573
Africa,15494.950393146317,8082.014706905433
Africa,15638.46758302248,8070.316304081349
Africa,15783.314056521198,8050.38068283747
Africa,15929.50212572123,8046.933156100682
Africa,16077.04421673822,8024.832918039994
Africa,16225.952870780871,8018.728518260323
Africa,16376.24074521689,8007.61599778839
Africa,16527.920614648974,8004.09679356977
Africa,16681.005372000593,7996.568904968868
Africa,16835.508029612007,7989.998628884892
Africa,16991.441720346258,7982.149443409127
Africa,17148.819698705407,7977.612982290945
Africa,17307.655341957277,7973.366217280229
Africa,17467.962151272455,7970.004251603739
Africa,17629.75375287204,7964.6171900729405
Africa,17793.043899185774,7964.6171900729405
Africa,17957.84647002097,7959.017547170513
Africa,18124.17547374239,7959.017547170513
Africa,18292.045048462936,7955.6453703583775
Africa,18461.469463245456,7941.055587150747
Africa,18632.4631193156,7939.405478767851
Africa,18805.04055128583,7939.405478767851
Africa,18979.216428391035,7937.568145867584
Africa,19155.00555573528,7933.85391956236
Africa,19332.422875550434,7929.441494107256
Africa,19511.48346846616,7929.441494107256
Africa,19692.202554791736,7926.373759250882
Africa,19874.59549580986,7926.373759250882
Africa,20058.677795082334,7929.441494107256
Africa,20244.46509976802,7929.441494107256
Africa,20431.973201952704,7929.441494107256
Africa,20621.218039991447,7926.373759250882
Africa,20812.215699863413,7926.373759250882
Africa,21004.98241653915,7926.373759250882
Africa,21199.53457536069,7926.373759250882
Africa,21395.888713434215,7926.373759250882
Africa,21594.061521035677,7926.373759250882
Africa,21794.06984302958,7926.373759250882
Africa,21995.93068030075,7936.018209768421
Africa,22199.661191199524,7937.568145867584
Africa,22405.278693000186,7939.405478767851
Africa,22612.800663372796,7941.038926456696
Africa,22822.24474186901,7941.708889359463
Africa,23033.62873142131,7941.708889359463
Africa,23246.970599856453,7943.65408690433
Africa,23462.288481422624,7946.209478319461
Africa,23679.600678330786,7946.209478319461
Africa,23898.92566231053,7946.209478319461
Africa,24120.28207618007,7948.248579681334
Africa,24343.68873543108,7959.922650089375
Africa,24569.1646298279,7964.6171900729405
Africa,24796.7289250216,7968.340604219047
Africa,25026.400964179214,7977.612982290945
Africa,25258.200269627847,7989.041040691825
Africa,25492.14654451421,7992.401869567455
Africa,25728.259674479323,8000.444337990005
Africa,25966.559729348723,8004.09679356977
Africa,26207.066964838552,8009.420503023608
Africa,26449.8018242772,8010.813675624594
Africa,26694.78494034318,8011.349812743258
Africa,26942.03713681882,8027.268279413544
Africa,27191.57943036019,8038.838598804625
Africa,27443.433032283683,8047.042767880206
Africa,27697.61935036891,8049.954544960088
Africa,27954.159990678538,8075.547862953164
Africa,28213.076759394706,8095.4716580502445
Africa,28474.391664672476,8100.040193737919
Africa,28738.126918510698,8115.360306136694
Africa,29004.30493863991,8117.541008594008
Africa,29272.94835042813,8146.906864720671
Africa,29544.0799888038,8175.322784510638
Africa,29817.722900196735,8202.978008716387
Africa,30093.90034449724,8211.494835486632
Africa,30372.635797033116,8227.597577808
Africa,30653.952950565235,8236.350011057759
Africa,30937.87571730137,8276.939155650283
Africa,31224.428230928577,8301.925566152962
Africa,31513.634848664824,8321.062122164043
